transition,trans_no,avg_time,SE_time
armature->no_armature,1,33.056489412200314,0.39804549016281376
armature->no_armature,2,30.486594996505676,0.38604124545188967
armature->no_armature,3,28.811201222546565,0.3718941405481615
armature->no_armature,4,27.722574905706047,0.34488958397592284
armature->no_armature,5,26.512899372288516,0.3196423186323842
armature->no_armature,6,25.097335897371902,0.30988046844100686
armature->no_armature,7,23.95539280385847,0.3204506738754305
armature->no_armature,8,22.687997250715178,0.3354285022367159
armature->no_armature,9,21.48640404665401,0.3697612036111544
armature->no_armature,10,20.39915166203482,0.38781439164019554
armature->no_armature,11,19.122645710506575,0.4087179495953304
armature->no_armature,12,18.11565530176455,0.4253962366584273
armature->no_armature,13,17.236037206029568,0.4215491417314266
armature->no_armature,14,16.31799510316287,0.42270273011663073
armature->no_armature,15,15.444278701316666,0.4235144080649975
armature->no_armature,16,14.485117816663276,0.3929270650150697
armature->no_armature,17,13.715627095709767,0.3786503653340485
armature->no_armature,18,12.91849691332406,0.35202513380899103
armature->no_armature,19,12.223165217392777,0.3197777907913762
armature->no_armature,20,11.712759577640897,0.3069019175898104
armature->no_armature,21,11.116451106890878,0.2904055016454383
armature->no_armature,22,10.603523748417636,0.2685448133910275
armature->no_armature,23,10.137777065058906,0.2502142762581575
armature->no_armature,24,9.698314724035805,0.2311213173099225
armature->no_armature,25,9.279153653310985,0.22483048880373627
armature->no_armature,26,8.731745297573822,0.19798233095207193
armature->no_armature,27,8.4574846801445709,0.19293686607570798
armature->no_armature,28,8.074400262108457,0.1859064189386645
armature->no_armature,29,7.749033301751179,0.17473075637024255
armature->no_armature,30,7.3997475763827145,0.16288665319232876
armature->no_armature,31,7.145823133577457,0.15955443564683638
armature->no_armature,32,6.910233245635244,0.15681990405224835
armature->no_armature,33,6.63093973537952,0.1519457076516038
armature->no_armature,34,6.342690757365175,0.14170104820314217
armature->no_armature,35,6.121464267562781,0.13734178080788523
armature->no_armature,36,5.875742942527708,0.1310882944417689
armature->no_armature,37,5.676030350358858,0.13002211675864306
armature->no_armature,38,5.45026638425251,0.12688534984178867
armature->no_armature,39,5.255123421567674,0.12431578038864606
armature->no_armature,40,5.056750324507818,0.12064481979932333
armature->no_armature,41,4.902223744962891,0.12057744801285813
armature->no_armature,42,4.722135670100103,0.11799618439614565
armature->no_armature,43,4.540063547757063,0.11301981177587891
armature->no_armature,44,4.36385358501181,0.1104161754906616
armature->no_armature,45,4.203304447823254,0.11019183909297367
armature->no_armature,46,4.064376075266166,0.10827148007170655
armature->no_armature,47,3.916620911939408,0.10626507015538089
armature->no_armature,48,3.7727620887641393,0.10219104935399836
armature->no_armature,49,3.6272846483647574,0.10113411252995863
armature->no_armature,50,3.4677255779717946,0.0989857673282171
armature->no_armature,51,3.3228990554218467,0.09458374366917927
armature->no_armature,52,3.1815982308344,0.0932197235035094
armature->no_armature,53,3.041272477134993,0.09190146675545817
armature->no_armature,54,2.9053423238183838,0.09116663176591742
armature->no_armature,55,2.788805767643455,0.08957578907669682
armature->no_armature,56,2.6685173336322445,0.08814304009373615
armature->no_armature,57,2.5463995118697214,0.08568217429422174
armature->no_armature,58,2.402807819047804,0.08352384062949729
armature->no_armature,59,2.294787916468204,0.08354590794609214
armature->no_armature,60,2.2055181444302083,0.08265881513836076
armature->no_armature,61,2.1088326454230595,0.08207782303201407
armature->no_armature,62,1.9776899529192316,0.08038759016501494
armature->no_armature,63,1.8618783833436234,0.079878279047969
armature->no_armature,64,1.7530481415526447,0.07660141413598406
armature->no_armature,65,1.6360026237784526,0.07365436816829042
armature->no_armature,66,1.5446653093525062,0.0726274388396884
armature->no_armature,67,1.4563260545649097,0.07070014882898543
armature->no_armature,68,1.3592603062336985,0.0688069491880986
armature->no_armature,69,1.2730236467445641,0.06742819398693542
armature->no_armature,70,1.1922748946965307,0.06508245654582204
armature->no_armature,71,1.1097257946293877,0.06221422864120373
armature->no_armature,72,1.0314896252205847,0.06005840913745289
armature->no_armature,73,0.9650433809154626,0.05638832171400254
armature->no_armature,74,0.897226160700875,0.05406603396286651
armature->no_armature,75,0.8408670315694717,0.052333289780060764
armature->no_armature,76,0.7892282664670454,0.05098288502027767
armature->no_armature,77,0.7300287653840883,0.04863042181723141
armature->no_armature,78,0.6687088462004106,0.044881124789661477
armature->no_armature,79,0.632697946421474,0.044237443490441015
armature->no_armature,80,0.5956041738637456,0.043895668449392175
armature->no_armature,81,0.5734537052558365,0.04332142021120398
armature->no_armature,82,0.5481197772025703,0.043391164526154144
armature->no_armature,83,0.5149389287583513,0.041753259955658734
armature->no_armature,84,0.4855098378616898,0.04039366152022089
armature->no_armature,85,0.46681596453553015,0.03796902919932987
armature->no_armature,86,0.42308721325883014,0.0338224783413003
armature->no_armature,87,0.41495929632736384,0.03153532490639785
armature->no_armature,88,0.38456526301626653,0.03047738722382679
armature->no_armature,89,0.3526669378140281,0.032444163886735426
armature->no_armature,90,0.33461458431182667,0.03192853254786949
no_armature->armature,1,34.26224898973242,0.5969437629442361
no_armature->armature,2,24.480284220221737,0.5481340226851513
no_armature->armature,3,20.6645846375924,0.4419199743764871
no_armature->armature,4,17.883975925968404,0.37106651913616817
no_armature->armature,5,15.870901048040915,0.36967912589440527
no_armature->armature,6,14.033086661114313,0.3486547741384846
no_armature->armature,7,12.772891004213118,0.3274445348637738
no_armature->armature,8,11.432832014798706,0.29686570141131075
no_armature->armature,9,10.332293783370153,0.2816552151915107
no_armature->armature,10,9.381046032150493,0.24169705423092658
no_armature->armature,11,8.605573749445403,0.2211044530382881
no_armature->armature,12,7.879116196378316,0.1892285741911282
no_armature->armature,13,7.296951342070168,0.166447666105048
no_armature->armature,14,6.776897635806076,0.15590882760733127
no_armature->armature,15,6.3222317588796395,0.13161461872243868
no_armature->armature,16,5.916663341637241,0.12343422828759082
no_armature->armature,17,5.567573333004923,0.12109837377754465
no_armature->armature,18,5.187270986810239,0.11638445142694494
no_armature->armature,19,4.777762780023917,0.11235256094210512
