"","time","transition","N_sim","trans_no","edge.length"
"1",0.252980038570417,"non_herb_large->non_herb_small",22,1,2
"2",0.300416874847275,"herb_small->non_herb_small",31,1,2
"3",0.408550763809907,"non_herb_large->non_herb_small",91,1,2
"4",0.49339332892984,"non_herb_large->herb_large",23,1,2
"5",0.601973295557509,"herb_small->non_herb_small",50,1,2
"6",0.695411336411317,"herb_small->herb_large",25,1,2
"7",0.81823235642078,"non_herb_large->non_herb_small",27,1,2
"8",1.97810039282146,"non_herb_large->non_herb_small",67,1,2
"9",2.32454181851306,"non_herb_large->non_herb_small",73,1,2
"10",2.39202611455788,"herb_small->non_herb_small",69,1,2
"11",2.46815705508341,"herb_small->non_herb_small",44,1,2
"12",2.50451543611235,"non_herb_large->non_herb_small",79,1,2
"13",2.74695922376046,"herb_large->herb_small",58,1,2
"14",2.78338884208745,"herb_small->herb_large",78,1,2
"15",2.79340477856936,"herb_large->herb_small",76,1,2
"16",2.98691261101514,"non_herb_large->non_herb_small",79,2,2
"17",3.07698640717378,"non_herb_large->non_herb_small",51,1,2
"18",3.24978762211992,"herb_small->herb_large",75,1,2
"19",3.52909253096208,"herb_small->non_herb_small",5,1,2
"20",3.58852075629849,"herb_large->herb_small",36,1,2
"21",3.67175804316161,"non_herb_large->non_herb_small",45,1,2
"22",4.10004454009169,"non_herb_small->herb_small",93,1,2
"23",4.30754330512558,"herb_large->herb_small",49,1,2
"24",4.32884144275124,"non_herb_small->non_herb_large",99,1,2
"25",4.45554384773541,"non_herb_large->non_herb_small",15,1,2
"26",4.72633140973875,"non_herb_large->non_herb_small",29,1,2
"27",4.91684429665212,"herb_small->non_herb_small",25,1,2
"28",5.77198708212036,"non_herb_small->herb_small",63,1,2
"29",6.58386656095767,"herb_small->non_herb_small",54,1,2
"30",6.79294678784735,"herb_small->non_herb_small",38,1,2
"31",7.03304474089773,"non_herb_large->non_herb_small",32,1,2
"32",7.2620343351059,"herb_small->non_herb_small",6,1,2
"33",7.49686541554433,"non_herb_large->non_herb_small",99,1,2
"34",7.66963254583644,"herb_large->herb_small",23,1,2
"35",8.22942568710956,"non_herb_large->non_herb_small",51,2,2
"36",9.26244626233201,"non_herb_large->non_herb_small",87,1,2
"37",9.4374285065369,"herb_small->non_herb_small",89,1,2
"38",9.53250894834298,"herb_small->non_herb_small",89,2,2
"39",9.64550384014704,"non_herb_small->herb_small",59,1,2
"40",9.70945596684737,"non_herb_large->herb_large",7,1,2
"41",9.75125633001709,"non_herb_small->herb_small",79,1,2
"42",10.3452633506512,"non_herb_large->non_herb_small",23,1,2
"43",11.3549055503963,"herb_large->herb_small",76,2,2
"44",11.4689434543637,"non_herb_small->herb_small",52,1,2
"45",11.4732111352568,"non_herb_small->non_herb_large",10,1,2
"46",12.6320107863532,"non_herb_large->non_herb_small",72,1,2
"47",13.0756116368747,"herb_large->non_herb_large",75,1,2
"48",13.253989310787,"non_herb_large->non_herb_small",41,1,2
"49",13.4583860276222,"non_herb_large->non_herb_small",92,1,2
"50",13.8192202308097,"non_herb_small->herb_small",62,1,2
"51",13.9889809988192,"non_herb_large->non_herb_small",96,1,2
"52",14.1035145549329,"herb_small->herb_large",94,1,2
"53",14.1263013347387,"non_herb_large->herb_large",98,1,2
"54",14.1514137114864,"non_herb_small->herb_small",2,1,2
"55",14.7474282393066,"non_herb_large->non_herb_small",70,1,2
"56",14.9796138215627,"non_herb_large->non_herb_small",73,2,2
"57",15.3845228442122,"non_herb_large->non_herb_small",80,1,2
"58",15.4974404021703,"non_herb_large->herb_large",46,1,2
"59",15.5259108588501,"herb_small->herb_large",36,1,2
"60",15.5842747964768,"non_herb_small->herb_small",99,1,2
"61",15.6870125835325,"non_herb_small->herb_small",87,1,2
"62",16.4799131704482,"herb_small->non_herb_small",37,1,2
"63",16.5462150950532,"herb_small->non_herb_small",58,1,2
"64",16.563994710024,"herb_small->non_herb_small",21,1,2
"65",16.5685371155885,"herb_small->non_herb_small",57,1,2
"66",16.9629322097865,"non_herb_large->non_herb_small",90,1,2
"67",17.0608765791717,"herb_small->non_herb_small",16,1,2
"68",17.1221272111293,"non_herb_small->herb_small",39,1,2
"69",17.1652478428649,"non_herb_large->non_herb_small",45,2,2
"70",17.3292245919496,"herb_large->herb_small",49,2,2
"71",17.8234558454364,"herb_small->non_herb_small",5,2,2
"72",18.5198230452428,"herb_small->non_herb_small",79,1,2
"73",19.1696884628028,"non_herb_large->non_herb_small",75,1,2
"74",19.5186853691611,"herb_small->non_herb_small",62,1,2
"75",19.7480267360288,"non_herb_large->non_herb_small",22,2,2
"76",19.7768836035925,"non_herb_large->non_herb_small",96,2,2
"77",21.1997928229248,"herb_small->non_herb_small",49,1,2
"78",21.3926264953562,"non_herb_large->non_herb_small",60,1,2
"79",23.3528445974711,"non_herb_large->non_herb_small",60,2,2
"80",23.3971312624068,"non_herb_large->non_herb_small",98,1,2
"81",23.5068557296737,"herb_small->non_herb_small",69,2,2
"82",23.590386228228,"herb_small->non_herb_small",19,1,2
