"","transition","time","N_sim","trans_no"
"1","non_herb_small->herb_small",59.3494330400741,1,1
"2","herb_small->herb_large",67.9482822445224,1,1
"3","herb_large->non_herb_large",109.598086310719,1,1
"4","non_herb_small->herb_small",123.741311348281,1,2
"5","herb_small->herb_large",126.18550013956,1,2
"6","non_herb_small->non_herb_large",134.483009306594,1,1
"7","non_herb_small->herb_small",136.541811852796,1,3
"8","herb_large->non_herb_large",139.359193040866,1,2
"9","herb_large->herb_small",141.51636551652,1,1
"10","non_herb_large->herb_large",143.839213238949,1,1
"11","non_herb_large->herb_large",144.487156938723,1,2
"12","non_herb_small->herb_small",145.513203793008,1,4
"13","non_herb_small->herb_small",146.190860160622,1,5
"14","non_herb_small->herb_small",148.020933195615,1,6
"15","non_herb_small->herb_small",149.197786080346,1,7
"16","herb_small->non_herb_small",149.925647454734,1,1
"17","herb_small->non_herb_small",150.564204098551,1,2
"18","non_herb_small->herb_small",152.193993209214,1,8
"19","herb_small->non_herb_small",152.44805257249,1,3
"20","non_herb_large->herb_large",157.420310682803,1,3
"21","non_herb_large->herb_large",158.023445854439,1,4
"22","non_herb_large->non_herb_small",164.801991604393,1,1
"23","non_herb_small->herb_small",165.806040282997,1,9
"24","non_herb_small->herb_small",166.100280639347,1,10
"25","non_herb_large->non_herb_small",166.114819504273,1,2
"26","non_herb_large->non_herb_small",167.726474012836,1,3
"27","herb_small->non_herb_small",167.842843949749,1,4
"28","herb_small->non_herb_small",171.719668882799,1,5
"29","herb_small->herb_large",172.378234504522,1,3
"30","herb_small->non_herb_small",172.403942440199,1,6
"31","non_herb_small->herb_small",174.859142102039,1,11
"32","herb_small->non_herb_small",175.221193705144,1,7
"33","non_herb_large->non_herb_small",175.781297646492,1,4
"34","non_herb_large->non_herb_small",176.344354464995,1,5
"35","non_herb_small->non_herb_large",177.329479289924,1,2
"36","herb_small->non_herb_small",177.389934305629,1,8
"37","herb_small->non_herb_small",183.983598123979,1,9
"38","non_herb_large->non_herb_small",184.574101918782,1,6
"39","non_herb_large->non_herb_small",185.622364385731,1,7
"40","non_herb_small->non_herb_large",186.224875601836,1,3
"41","non_herb_large->non_herb_small",186.338693688948,1,8
"42","non_herb_large->non_herb_small",186.341976614183,1,9
"43","herb_small->non_herb_small",186.930831931779,1,10
"44","non_herb_small->non_herb_large",187.027128493209,1,4
"45","non_herb_large->non_herb_small",188.456054059126,1,10
"46","non_herb_large->non_herb_small",188.821014209162,1,11
"47","non_herb_small->herb_small",189.012869627246,1,12
"48","herb_small->non_herb_small",189.63657215419,1,11
"49","non_herb_small->herb_small",190.119711527597,1,13
"50","herb_small->non_herb_small",190.453382592329,1,12
"51","herb_small->non_herb_small",190.460959766565,1,13
"52","herb_small->herb_large",190.741486626712,1,4
"53","herb_small->non_herb_small",190.997682043006,1,14
"54","non_herb_large->non_herb_small",191.427022589782,1,12
"55","herb_small->non_herb_small",191.79726447486,1,15
"56","herb_large->herb_small",192.120385703101,1,2
"57","herb_small->herb_large",194.581511973517,1,5
"58","non_herb_large->herb_large",194.705567943567,1,5
"59","non_herb_small->herb_small",195.416689049787,1,14
