"","time","transition","N_sim","trans_no","edge.length"
"1",0.231636408743646,"armature->no_armature",25,1,3
"2",0.346471084054504,"armature->no_armature",41,1,4
"3",0.382772074917836,"armature->no_armature",89,1,4
"4",0.598757626109158,"no_armature->armature",36,1,4
"5",0.62951096557634,"armature->no_armature",88,1,4
"6",0.760900660333777,"armature->no_armature",88,2,5
"7",0.813763198128532,"armature->no_armature",6,1,5
"8",0.820269997155871,"no_armature->armature",52,1,5
"9",1.10013321879086,"armature->no_armature",39,1,5
"10",1.117112783159,"no_armature->armature",54,1,5
"11",1.17702551495136,"no_armature->armature",79,1,5
"12",1.30863746217701,"armature->no_armature",11,1,5
"13",1.35613073588771,"armature->no_armature",39,2,5
"14",1.36749939533396,"no_armature->armature",3,1,5
"15",1.41944697704425,"no_armature->armature",93,1,5
"16",1.51809230796821,"armature->no_armature",29,1,5
"17",1.53283511909712,"no_armature->armature",8,1,5
"18",1.55830213747214,"armature->no_armature",82,1,5
"19",1.61006169821247,"armature->no_armature",41,2,5
"20",1.63398000065856,"no_armature->armature",34,1,5
"21",1.69122036860523,"armature->no_armature",37,1,5
"22",1.69364225243976,"armature->no_armature",70,1,5
"23",1.7508087728411,"no_armature->armature",96,1,5
"24",1.80514399293271,"no_armature->armature",60,1,5
"25",1.83459886824093,"no_armature->armature",20,1,5
"26",1.8529952495529,"armature->no_armature",95,1,5
"27",1.96338263105536,"armature->no_armature",81,1,5
"28",2.03265926559665,"armature->no_armature",6,2,5
"29",2.04637732006742,"no_armature->armature",94,1,5
"30",2.12807744578612,"armature->no_armature",85,1,5
"31",2.24854450183467,"no_armature->armature",49,1,6
"32",2.25533339782076,"no_armature->armature",78,1,6
"33",2.27840805588062,"no_armature->armature",91,1,6
"34",2.40242883945333,"no_armature->armature",9,1,6
"35",2.41458632060269,"no_armature->armature",17,1,6
"36",2.45978148646244,"no_armature->armature",18,1,6
"37",2.49895406667177,"no_armature->armature",21,1,6
"38",2.55313816337436,"no_armature->armature",71,1,6
"39",2.68080360952599,"no_armature->armature",72,1,6
"40",2.78523524481994,"no_armature->armature",97,1,7
"41",2.79348727718353,"armature->no_armature",39,3,7
"42",2.91045370274011,"no_armature->armature",55,1,7
"43",3.00271051723038,"no_armature->armature",60,2,7
"44",3.02066368573212,"no_armature->armature",66,1,7
"45",3.05870179216069,"armature->no_armature",32,1,7
"46",3.10033356516613,"armature->no_armature",70,2,7
"47",3.11829872320243,"armature->no_armature",73,1,7
"48",3.19131372169281,"no_armature->armature",47,1,8
"49",3.19143116345681,"armature->no_armature",95,2,8
"50",3.21301810675682,"no_armature->armature",60,3,8
"51",3.30010005378822,"no_armature->armature",52,2,8
"52",3.37177115225699,"armature->no_armature",81,2,8
"53",3.41141579192244,"no_armature->armature",28,1,8
"54",3.41226762804732,"armature->no_armature",73,2,8
"55",3.51510274700182,"no_armature->armature",65,1,8
"56",3.60786263913396,"no_armature->armature",14,1,8
"57",3.62002067845244,"no_armature->armature",50,1,8
"58",3.70394117052926,"armature->no_armature",96,1,8
"59",3.75233251323508,"no_armature->armature",45,1,8
"60",3.76538776447053,"no_armature->armature",58,1,8
"61",3.80266346599868,"armature->no_armature",39,4,8
"62",3.84134186067355,"no_armature->armature",61,1,9
"63",3.92424654317688,"armature->no_armature",83,1,9
"64",3.9571400124416,"no_armature->armature",42,1,9
"65",4.06070701270535,"armature->no_armature",34,1,9
"66",4.0718625905844,"no_armature->armature",75,1,9
"67",4.091781309598,"no_armature->armature",23,1,9
"68",4.12907304298865,"no_armature->armature",68,1,9
"69",4.15006221576909,"no_armature->armature",48,1,9
"70",4.25498072642053,"no_armature->armature",30,1,10
"71",4.27264990467062,"armature->no_armature",49,1,10
"72",4.27338103566313,"no_armature->armature",86,1,10
"73",4.28688456234862,"armature->no_armature",65,1,10
"74",4.33569293745252,"no_armature->armature",35,1,10
"75",4.35234721119901,"no_armature->armature",19,1,10
"76",4.36062238946381,"no_armature->armature",33,1,10
"77",4.41545002758529,"no_armature->armature",71,2,10
"78",4.44076764679065,"no_armature->armature",2,1,10
"79",4.44874951575066,"no_armature->armature",15,1,10
"80",4.4830451135427,"no_armature->armature",35,2,10
"81",4.50121871695135,"no_armature->armature",57,1,10
"82",4.51015973102029,"armature->no_armature",58,1,10
"83",4.57482737061572,"armature->no_armature",29,2,10
"84",4.59209421409889,"no_armature->armature",50,2,10
"85",4.60041798802388,"no_armature->armature",7,1,10
"86",4.63185466975772,"armature->no_armature",72,1,10
"87",4.63859601184888,"armature->no_armature",3,1,10
"88",4.64776412812079,"no_armature->armature",92,1,10
"89",4.6542853534302,"no_armature->armature",63,1,10
"90",4.66605005408992,"armature->no_armature",14,1,10
"91",4.68789900100716,"no_armature->armature",10,1,10
"92",4.69163246596185,"armature->no_armature",32,2,10
"93",4.72746507560683,"no_armature->armature",100,1,10
"94",4.74713789526802,"no_armature->armature",24,1,10
"95",4.81590314843881,"armature->no_armature",38,1,10
"96",4.81822263402185,"no_armature->armature",59,1,10
"97",4.89733244846694,"armature->no_armature",41,3,10
"98",4.92330593507657,"armature->no_armature",73,3,10
"99",4.92404473323567,"armature->no_armature",11,2,10
"100",4.93411653840653,"no_armature->armature",31,1,10
"101",4.94725186610045,"no_armature->armature",27,1,10
"102",4.96104588552695,"no_armature->armature",44,1,10
"103",4.96502316758498,"no_armature->armature",56,1,10
"104",4.98595083386927,"no_armature->armature",12,1,10
"105",4.99815633286733,"armature->no_armature",50,1,10
"106",5.04900571227125,"no_armature->armature",5,1,10
"107",5.06367652051048,"armature->no_armature",29,3,10
"108",5.06824962602501,"no_armature->armature",98,1,10
