"","time","transition","N_sim","trans_no","edge.length"
"1",3.23666264344589,"megaherbivore->other",97,1,2
"2",3.49200613387048,"megaherbivore->other",22,1,2
"3",4.64935901066483,"megaherbivore->other",43,1,2
"4",5.9616515821399,"megaherbivore->other",84,1,2
"5",6.42990550646996,"megaherbivore->other",88,1,2
"6",6.85054114689809,"megaherbivore->other",32,1,2
"7",8.27766886096438,"megaherbivore->other",100,1,2
"8",8.38779917508793,"megaherbivore->other",57,1,2
"9",8.82284930781734,"megaherbivore->other",84,2,2
"10",9.1361984047147,"megaherbivore->other",22,2,2
"11",15.1136187203417,"megaherbivore->other",97,2,2
"12",15.9104271164211,"megaherbivore->other",98,1,2
"13",16.8076824223266,"megaherbivore->other",43,2,2
"14",17.843036713103,"megaherbivore->other",95,1,2
"15",19.0785976931572,"megaherbivore->other",71,1,2
"16",19.1623002573919,"megaherbivore->other",26,1,2
"17",20.2513632268644,"megaherbivore->other",63,1,2
"18",20.5680190541365,"megaherbivore->other",21,1,2
"19",20.5973548106869,"other->megaherbivore",77,1,2
"20",22.6668613867115,"megaherbivore->other",71,2,2
"21",28.3445604883652,"other->megaherbivore",6,1,3
"22",28.7603874164452,"megaherbivore->other",6,1,3
"23",29.6140934293715,"megaherbivore->other",93,1,3
"24",30.368130856329,"megaherbivore->other",67,1,3
"25",33.9478812255993,"other->megaherbivore",28,1,3
"26",33.9518098080331,"other->megaherbivore",35,1,3
"27",34.4211430598353,"other->megaherbivore",65,1,3
"28",35.2213118005518,"megaherbivore->other",27,1,3
"29",35.4474377909985,"megaherbivore->other",67,2,3
"30",35.6751518189658,"other->megaherbivore",67,1,3
"31",36.6702997397286,"megaherbivore->other",57,2,3
"32",37.0060527632829,"megaherbivore->other",89,1,3
"33",37.6645003462533,"other->megaherbivore",53,1,3
"34",38.9162654037946,"megaherbivore->other",67,3,3
"35",40.0381765767429,"other->megaherbivore",90,1,3
"36",41.688792343748,"megaherbivore->other",34,1,3
"37",47.2211350735268,"megaherbivore->other",93,2,3
"38",48.4487416450745,"other->megaherbivore",17,1,3
"39",50.7826632599001,"megaherbivore->other",34,2,3
"40",52.9137091286249,"megaherbivore->other",27,2,3
"41",53.983283468307,"other->megaherbivore",10,1,3
"42",54.9121113341234,"other->megaherbivore",54,1,3
"43",55.4764717912034,"megaherbivore->other",34,3,3
"44",56.0390416927666,"megaherbivore->other",70,1,3
"45",56.0800648919,"megaherbivore->other",27,3,3
"46",57.1858896580535,"megaherbivore->other",63,2,3
"47",63.5308591639176,"megaherbivore->other",25,1,3
"48",63.7364078259414,"megaherbivore->other",47,1,3
"49",64.3762152776019,"other->megaherbivore",81,1,3
"50",66.3627386340145,"megaherbivore->other",15,1,3
"51",66.8484742670302,"other->megaherbivore",12,1,3
"52",67.9407213929356,"megaherbivore->other",89,2,3
"53",69.9339022493414,"megaherbivore->other",10,1,3
"54",72.2305698673817,"megaherbivore->other",93,3,3
"55",73.3939494190161,"megaherbivore->other",53,1,3
"56",76.7236738306884,"other->megaherbivore",29,1,3
"57",77.9483470538678,"megaherbivore->other",81,1,3
"58",78.2471275935325,"other->megaherbivore",85,1,3
"59",83.3766174540454,"megaherbivore->other",35,1,3
"60",83.6179789941738,"megaherbivore->other",85,1,3
"61",83.9888115736455,"megaherbivore->other",98,2,3
"62",84.2258469288738,"megaherbivore->other",17,1,3
"63",84.2448402336616,"other->megaherbivore",7,1,3
"64",85.3105653338399,"other->megaherbivore",69,1,3
"65",85.3683178136764,"megaherbivore->other",70,2,3
"66",86.2934326433958,"megaherbivore->other",29,1,3
"67",87.5186352571317,"other->megaherbivore",90,2,3
"68",89.0451915426052,"megaherbivore->other",12,1,3
"69",89.4277286643216,"megaherbivore->other",28,1,3
"70",90.5666902180727,"other->megaherbivore",86,1,3
"71",91.1159892288612,"other->megaherbivore",94,1,3
"72",91.4419956444391,"megaherbivore->other",95,2,3
"73",91.8939666631065,"megaherbivore->other",15,2,3
"74",94.5996842097237,"megaherbivore->other",86,1,3
"75",97.9287733708077,"megaherbivore->other",67,4,3
"76",98.5986098668561,"megaherbivore->other",5,1,3
"77",99.0255406408502,"megaherbivore->other",77,1,3
"78",99.9905529154599,"megaherbivore->other",26,2,3
"79",100.374946712413,"megaherbivore->other",65,1,3
"80",100.774429571818,"megaherbivore->other",5,2,3
"81",101.396359761117,"megaherbivore->other",32,2,3
"82",102.685453963403,"megaherbivore->other",47,2,3
"83",102.773577948765,"megaherbivore->other",25,2,3
"84",103.51735710884,"other->megaherbivore",41,1,3
"85",105.753073537947,"megaherbivore->other",15,3,3
"86",109.011886786581,"megaherbivore->other",54,1,3
"87",109.835385058803,"megaherbivore->other",5,3,3
"88",110.921889650442,"other->megaherbivore",86,2,3
"89",112.336225059831,"megaherbivore->other",89,3,3
"90",113.917877854833,"megaherbivore->other",57,3,3
"91",115.386538288007,"megaherbivore->other",63,3,3
"92",118.934477467103,"megaherbivore->other",7,1,5
"93",119.398701627277,"megaherbivore->other",86,2,5
"94",119.807764443328,"megaherbivore->other",70,3,5
"95",120.204634691887,"megaherbivore->other",32,3,5
"96",121.438744877826,"megaherbivore->other",26,3,5
"97",121.780607034485,"megaherbivore->other",21,2,5
"98",122.606819478665,"megaherbivore->other",32,4,5
"99",122.791670310788,"other->megaherbivore",50,1,5
"100",124.628299224549,"megaherbivore->other",26,4,5
"101",124.634583999795,"megaherbivore->other",90,1,5
"102",124.772907321775,"other->megaherbivore",30,1,5
"103",125.022064208572,"other->megaherbivore",42,1,5
"104",126.60198196315,"megaherbivore->other",26,5,6
"105",127.746551859224,"other->megaherbivore",1,1,6
"106",127.765804014664,"megaherbivore->other",47,3,6
"107",128.046341183103,"other->megaherbivore",39,1,6
"108",128.463236363026,"other->megaherbivore",66,1,6
"109",128.546089687993,"other->megaherbivore",73,1,6
"110",129.158686411196,"other->megaherbivore",2,1,6
"111",129.240478724977,"other->megaherbivore",72,1,6
"112",129.356115608161,"megaherbivore->other",30,1,6
"113",130.223863364767,"megaherbivore->other",32,5,6
"114",130.867704010953,"other->megaherbivore",97,1,6
"115",132.184630783195,"other->megaherbivore",14,1,6
"116",132.641975625019,"other->megaherbivore",63,1,6
"117",133.261278282628,"other->megaherbivore",84,1,6
"118",133.320836203363,"other->megaherbivore",77,2,7
"119",133.324612839892,"other->megaherbivore",25,1,7
"120",133.380492721225,"other->megaherbivore",96,1,7
"121",133.462638106883,"other->megaherbivore",57,1,7
"122",133.501940331069,"other->megaherbivore",20,1,7
"123",133.520542613495,"other->megaherbivore",93,1,7
"124",133.538225148355,"other->megaherbivore",29,2,7
"125",133.604931350723,"other->megaherbivore",61,1,7
"126",133.653878196477,"other->megaherbivore",17,2,7
"127",133.783510135405,"megaherbivore->other",39,1,7
"128",133.830721995777,"other->megaherbivore",83,1,7
"129",133.874321722222,"other->megaherbivore",28,2,7
"130",133.897608673622,"other->megaherbivore",8,1,7
"131",133.949802645695,"other->megaherbivore",64,1,7
"132",134.01613299261,"other->megaherbivore",62,1,7
"133",134.05709420057,"other->megaherbivore",48,1,7
"134",134.123996803037,"other->megaherbivore",76,1,7
"135",134.129023398291,"other->megaherbivore",100,1,7
"136",134.175618854331,"other->megaherbivore",10,2,7
"137",134.196015984917,"other->megaherbivore",86,3,7
"138",134.248593248071,"other->megaherbivore",47,1,7
"139",134.260023401636,"other->megaherbivore",21,1,7
"140",134.31060787193,"other->megaherbivore",98,1,7
"141",134.329667006973,"other->megaherbivore",36,1,7
"142",134.345966983998,"other->megaherbivore",51,1,7
"143",134.363707951892,"other->megaherbivore",70,1,7
"144",134.373275314485,"other->megaherbivore",24,1,7
"145",134.379158656401,"other->megaherbivore",59,1,7
"146",134.397871865218,"other->megaherbivore",58,1,7
"147",134.416951768815,"other->megaherbivore",81,2,7
"148",134.451551981721,"megaherbivore->other",30,2,7
"149",134.459231949575,"other->megaherbivore",88,1,7
"150",134.499446412043,"other->megaherbivore",15,1,7
"151",134.630446661971,"other->megaherbivore",9,1,8
"152",134.645094704508,"other->megaherbivore",16,1,8
"153",134.695939606305,"other->megaherbivore",85,2,8
"154",134.756380772105,"other->megaherbivore",19,1,8
"155",134.773196164979,"other->megaherbivore",95,1,8
"156",134.806517465606,"other->megaherbivore",5,1,8
"157",134.817043180265,"other->megaherbivore",56,1,8
"158",134.852428314286,"other->megaherbivore",50,2,8
"159",134.871163382929,"megaherbivore->other",73,1,8
"160",134.888336457758,"other->megaherbivore",74,1,8
"161",134.889211261289,"other->megaherbivore",69,2,8
"162",134.903825084289,"other->megaherbivore",68,1,8
"163",134.940037108941,"megaherbivore->other",2,1,8
"164",134.978855616157,"other->megaherbivore",7,2,8
"165",135.014180022227,"other->megaherbivore",4,1,8
"166",135.023992400861,"other->megaherbivore",89,1,8
"167",135.049852209516,"other->megaherbivore",42,2,8
"168",135.050211799875,"megaherbivore->other",66,1,8
"169",135.064942426188,"other->megaherbivore",18,1,9
"170",135.17239883146,"other->megaherbivore",22,1,9
"171",135.228500734283,"other->megaherbivore",45,1,9
"172",135.246310406196,"other->megaherbivore",63,2,9
"173",135.288965442196,"other->megaherbivore",65,2,9
"174",135.330379565417,"other->megaherbivore",11,1,9
"175",135.398568012796,"other->megaherbivore",82,1,9
"176",135.40141193901,"other->megaherbivore",6,2,9
"177",135.407781685822,"other->megaherbivore",38,1,9
"178",135.448632373642,"other->megaherbivore",13,1,9
"179",135.449573726892,"other->megaherbivore",34,1,9
"180",135.464854097723,"other->megaherbivore",52,1,9
"181",135.537129036236,"other->megaherbivore",90,3,9
"182",135.554517878873,"other->megaherbivore",23,1,9
"183",135.565675691751,"other->megaherbivore",46,1,9
"184",135.581481818872,"other->megaherbivore",80,1,9
"185",135.616189314561,"other->megaherbivore",87,1,9
"186",135.791522414202,"other->megaherbivore",78,1,9
"187",135.810301530002,"other->megaherbivore",41,2,10
"188",135.833183567066,"other->megaherbivore",84,2,10
"189",135.855607792142,"other->megaherbivore",49,1,10
"190",136.143129351101,"other->megaherbivore",53,2,12
"191",136.216344168915,"other->megaherbivore",33,1,13
"192",136.236438691298,"other->megaherbivore",37,1,13
"193",136.238378792804,"megaherbivore->other",41,1,13
"194",136.256612677316,"other->megaherbivore",55,1,13
"195",136.280118576774,"megaherbivore->other",90,2,13
"196",136.305897524406,"other->megaherbivore",3,1,13
"197",136.441029113738,"megaherbivore->other",66,2,13
"198",136.50650819792,"other->megaherbivore",31,1,13
"199",136.536363878063,"other->megaherbivore",75,1,13
"200",136.541011305262,"other->megaherbivore",44,1,13
"201",136.565222465274,"other->megaherbivore",3,2,13
"202",136.614748080521,"other->megaherbivore",67,2,13
"203",136.641873388128,"other->megaherbivore",27,1,13
"204",136.73917023933,"megaherbivore->other",26,6,14
"205",136.806763349017,"megaherbivore->other",51,1,14
"206",136.859152644669,"megaherbivore->other",57,4,14
"207",136.912216989134,"megaherbivore->other",32,6,14
"208",136.915013733899,"megaherbivore->other",46,1,14
"209",137.066826177732,"other->megaherbivore",99,1,15
"210",137.132842893663,"megaherbivore->other",17,2,15
"211",137.14746376925,"other->megaherbivore",35,2,15
"212",137.188400595339,"other->megaherbivore",53,3,15
"213",137.212103867929,"megaherbivore->other",76,1,15
"214",137.245692571722,"megaherbivore->other",18,1,15
"215",137.301957301282,"megaherbivore->other",14,1,15
"216",137.399720858474,"megaherbivore->other",72,1,15
"217",137.40153627046,"megaherbivore->other",29,2,15
"218",137.432184166897,"megaherbivore->other",25,3,15
"219",137.543530689992,"other->megaherbivore",43,1,15
"220",137.551335672479,"megaherbivore->other",47,4,15
"221",137.598224620133,"megaherbivore->other",97,3,15
"222",137.958228676257,"other->megaherbivore",54,2,15
"223",138.005991296072,"megaherbivore->other",93,4,15
"224",138.288634589882,"megaherbivore->other",82,1,16
"225",138.325991715287,"megaherbivore->other",9,1,16
"226",138.350538535469,"megaherbivore->other",8,1,17
"227",138.802929117325,"other->megaherbivore",57,2,17
"228",138.818496319749,"megaherbivore->other",88,2,17
"229",138.913634449071,"megaherbivore->other",85,2,17
"230",138.923071255758,"other->megaherbivore",79,1,17
"231",138.996761481619,"other->megaherbivore",44,2,17
"232",139.221660396587,"megaherbivore->other",38,1,17
"233",139.254414397867,"megaherbivore->other",10,2,17
"234",139.556783127471,"other->megaherbivore",67,3,18
"235",139.690140798137,"megaherbivore->other",84,3,18
"236",139.703818648078,"other->megaherbivore",27,2,18
"237",139.725534303689,"other->megaherbivore",37,2,18
"238",140.108669340849,"megaherbivore->other",50,1,18
"239",140.269869045875,"megaherbivore->other",1,1,18
"240",140.316684766782,"other->megaherbivore",79,2,18
"241",140.333602513297,"other->megaherbivore",22,2,18
"242",140.348262864089,"megaherbivore->other",25,4,18
"243",140.492365277833,"megaherbivore->other",25,5,18
"244",140.673931738836,"other->megaherbivore",91,1,20
"245",140.682403913579,"megaherbivore->other",34,4,20
"246",140.695674551531,"megaherbivore->other",85,3,20
"247",140.73175571719,"other->megaherbivore",5,2,20
"248",140.801941784645,"other->megaherbivore",72,2,20
"249",140.888498532363,"other->megaherbivore",94,2,20
"250",140.919268089882,"megaherbivore->other",48,1,20
"251",141.038982096505,"other->megaherbivore",53,4,20
"252",141.149391998244,"megaherbivore->other",89,4,20
"253",141.198899034531,"other->megaherbivore",60,1,20
"254",141.304400290302,"other->megaherbivore",95,2,20
"255",141.40425626197,"megaherbivore->other",74,1,20
"256",141.679970461017,"megaherbivore->other",5,4,20
"257",141.712058029636,"other->megaherbivore",89,2,20
"258",141.779856419174,"other->megaherbivore",71,1,20
"259",141.783815482593,"megaherbivore->other",78,1,20
"260",142.026390209404,"megaherbivore->other",6,2,20
"261",142.0740757592,"other->megaherbivore",25,2,20
"262",142.209842359047,"megaherbivore->other",58,1,20
"263",142.275183287134,"other->megaherbivore",40,1,20
"264",142.512738895013,"other->megaherbivore",91,2,20
"265",142.648536325512,"other->megaherbivore",99,2,20
"266",142.773363817532,"other->megaherbivore",94,3,20
"267",142.805938262218,"megaherbivore->other",42,1,20
"268",143.312643431408,"megaherbivore->other",30,3,22
"269",143.391132380994,"megaherbivore->other",4,1,22
"270",143.440946266951,"megaherbivore->other",87,1,22
"271",143.446262709857,"other->megaherbivore",5,3,22
"272",143.486750489006,"megaherbivore->other",73,2,22
"273",143.587315651173,"megaherbivore->other",72,2,22
"274",143.884530809144,"other->megaherbivore",92,1,22
"275",143.896188703828,"megaherbivore->other",39,2,22
"276",144.151846503239,"other->megaherbivore",56,2,22
"277",144.188621937449,"other->megaherbivore",62,2,22
"278",144.189006276657,"megaherbivore->other",100,2,22
"279",144.194386663895,"other->megaherbivore",92,2,22
"280",144.290572527504,"other->megaherbivore",65,3,22
"281",144.315571297632,"other->megaherbivore",60,2,22
"282",144.392098414966,"other->megaherbivore",12,2,22
"283",144.458486978111,"other->megaherbivore",92,3,22
"284",144.534714932642,"other->megaherbivore",79,3,22
"285",144.847301299447,"other->megaherbivore",60,3,22
"286",145.019319991677,"megaherbivore->other",62,1,22
