"","time","transition","N_sim","trans_no","edge.length"
"1",0.260539380373968,"armature->no_armature",56,1,4
"2",0.293087039358208,"armature->no_armature",14,1,4
"3",0.326805949946537,"no_armature->armature",20,1,4
"4",0.379170446575407,"armature->no_armature",45,1,4
"5",0.397738525008357,"armature->no_armature",88,1,4
"6",0.61145592996191,"armature->no_armature",53,1,4
"7",0.783449580393314,"no_armature->armature",8,1,5
"8",0.925714653073246,"armature->no_armature",57,1,5
"9",0.93794992586794,"no_armature->armature",77,1,5
"10",1.01341006764662,"armature->no_armature",49,1,5
"11",1.24033150244279,"armature->no_armature",10,1,5
"12",1.36341943670587,"armature->no_armature",9,1,5
"13",1.39058456681815,"armature->no_armature",91,1,5
"14",1.41166940609764,"no_armature->armature",85,1,5
"15",1.45896843293538,"armature->no_armature",26,1,5
"16",1.56986550660116,"armature->no_armature",98,1,5
"17",1.59558099395835,"no_armature->armature",22,1,5
"18",1.68413717216949,"no_armature->armature",90,1,5
"19",1.69875313523284,"armature->no_armature",70,1,5
"20",1.87123750031112,"no_armature->armature",84,1,5
"21",1.9069693706152,"no_armature->armature",55,1,5
"22",1.9209977044964,"no_armature->armature",50,1,5
"23",1.96261221197235,"no_armature->armature",33,1,5
"24",2.04419584765264,"no_armature->armature",73,1,5
"25",2.06026551775535,"armature->no_armature",57,2,5
"26",2.13267699121089,"armature->no_armature",30,1,5
"27",2.2298769464319,"no_armature->armature",28,1,6
"28",2.29132851459601,"armature->no_armature",4,1,6
"29",2.37350111742434,"armature->no_armature",98,2,6
"30",2.39287447987807,"no_armature->armature",91,1,6
"31",2.43300946830597,"no_armature->armature",24,1,6
"32",2.50698541949193,"armature->no_armature",49,2,6
"33",2.60515692478273,"no_armature->armature",54,1,6
"34",2.89628602439481,"no_armature->armature",60,1,7
"35",3.01568205456496,"no_armature->armature",18,1,7
"36",3.03325502525369,"no_armature->armature",46,1,7
"37",3.03480965237626,"no_armature->armature",72,1,7
"38",3.04320946130592,"no_armature->armature",82,1,7
"39",3.06006568001536,"no_armature->armature",2,1,7
"40",3.11943170967248,"no_armature->armature",38,1,7
"41",3.15854132946867,"no_armature->armature",82,2,8
"42",3.16036918363605,"no_armature->armature",37,1,8
"43",3.25824636478451,"armature->no_armature",25,1,8
"44",3.34694709652453,"no_armature->armature",52,1,8
"45",3.35845044530535,"no_armature->armature",7,1,8
"46",3.45147810859625,"armature->no_armature",57,3,8
"47",3.45733157897173,"no_armature->armature",21,1,8
"48",3.49801593739377,"no_armature->armature",15,1,8
"49",3.55604251988525,"no_armature->armature",95,1,8
"50",3.59248171449186,"no_armature->armature",34,1,8
"51",3.60973881162384,"no_armature->armature",74,1,8
"52",3.62882704980682,"armature->no_armature",51,1,8
"53",3.78776724328644,"no_armature->armature",5,1,8
"54",3.78967936700626,"no_armature->armature",41,1,8
"55",3.80940646274126,"no_armature->armature",100,1,8
"56",3.83015378878412,"no_armature->armature",58,1,9
"57",3.83094139414013,"armature->no_armature",84,1,9
"58",3.86616377649713,"no_armature->armature",93,1,9
"59",3.87963081125356,"armature->no_armature",79,1,9
"60",3.88659093630542,"no_armature->armature",31,1,9
"61",3.89487672093726,"armature->no_armature",90,1,9
"62",3.91473304963976,"no_armature->armature",92,1,9
"63",3.93223392704698,"no_armature->armature",83,1,9
