"","Condition_Met"
"Perameles_bougainville",0
"Perameles_nasuta",0
"Perameles_gunnii",0
"Isoodon_macrourus",0
"Isoodon_auratus",0
"Isoodon_obesulus",0
"Peroryctes_broadbenti",0
"Peroryctes_raffrayana",0
"PeroryctinaeGen_spA",0
"Rhynchomeles_prattorum",0
"Echymipera_clara",0
"Echymipera_kalubu",0
"Echymipera_rufescens",0
"Microperoryctes_longicauda",0
"Microperoryctes_papuensis",0
"Chaeropus_ecaudatus",0
"Macrotis_lagotis",0
"Macrotis_leucura",0
"Notoryctes_caurinus",0
"Notoryctes_typhlops",0
"Cercartetus_caudatus",0
"Cercartetus_concinnus",0
"Cercartetus_nanus",0
"Cercartetus_lepidus",0
"Burramys_parvus",0
"Wyulda_squamicaudata",0
"Trichosurus_caninus",0
"Trichosurus_vulpecula",0
"Strigocuscus_celebensis",0
"Ailurops_ursinus",1
"Ailurops_melanotis",0
"Strigocuscus_pelengensis",0
"Phalanger_vestitus",0
"Phalanger_carmelitae",0
"Phalanger_intercastellanus",0
"Phalanger_orientalis",0
"Phalanger_sericeus",0
"Phalanger_gymnotis",0
"Phalanger_lullulae",0
"Phalanger_matanim",0
"Phalanger_ornatus",0
"Spilocuscus_maculatus",0
"Spilocuscus_rufoniger",0
"Procoptodon_goliah",1
"Procoptodon_gilli",1
"Procoptodon_browneorum",1
"Simosthenurus_occidentalis",1
"Simosthenurus_maddocki",1
"Metasthenurus_newtonae",1
"Sthenurus_stirlingi",1
"Sthenurus_tindalei",1
"Sthenurus_atlas",1
"Sthenurus_andersoni",1
"Lagostrophus_fasciatus",0
"Troposodon_minor",1
"Thylogale_stigmatica",0
"Thylogale_brunii",0
"Thylogale_calabyi",0
"Thylogale_browni",0
"Thylogale_lanatus",0
"Thylogale_thetis",0
"Thylogale_billardierii",0
"Dendrolagus_goodfellowi",0
"Dendrolagus_pulcherrimus",0
"Dendrolagus_matschiei",0
"Dendrolagus_spadix",0
"Dendrolagus_lumholtzi",0
"Dendrolagus_bennettianus",1
"Dendrolagus_dorianus",1
"Dendrolagus_stellarum",0
"Dendrolagus_notatus",0
