"Binomial.1.2","Condition_Met"
"Abditomys_latidens",0
"Abeomelomys_sevia",0
"Abrawayaomys_ruschii",0
"Abrocoma_bennettii",0
"Abrocoma_boliviensis",0
"Abrocoma_budini",0
"Abrocoma_cinerea",0
"Abrocoma_famatina",0
"Abrocoma_shistacea",0
"Abrocoma_uspallata",0
"Abrocoma_vaccarum",0
"Abrothrix_andinus",0
"Abrothrix_illutea",0
"Abrothrix_jelskii",0
"Abrothrix_lanosus",0
"Abrothrix_longipilis",0
"Abrothrix_olivaceus",0
"Abrothrix_sanborni",0
"Acinonyx_jubatus",0
"Acomys_airensis",0
"Acomys_cahirinus",0
"Acomys_cilicicus",0
"Acomys_cineraceus",0
"Acomys_dimidiatus",0
"Acomys_ignitus",0
"Acomys_johannis",0
"Acomys_kempi",0
"Acomys_louisae",0
"Acomys_minous",0
"Acomys_mullah",0
"Acomys_nesiotes",0
"Acomys_percivali",0
"Acomys_russatus",0
"Acomys_seurati",0
"Acomys_spinosissimus",0
"Acomys_subspinosus",0
"Acomys_wilsoni",0
"Aconaemys_fuscus",0
"Aconaemys_porteri",0
"Aconaemys_sagei",0
"Acratocnus_odontrigonus",1
"Acratocnus_ye",1
"Acrobates_pygmaeus",0
"Addax_nasomaculatus",1
"Aegialomys_galapagoensis",0
"Aegialomys_xanthaeolus",0
"Aepeomys_lugens",0
"Aepeomys_reigi",0
"Aepyceros_melampus",1
"Aepyprymnus_rufescens",0
"Aeretes_melanopterus",0
"Aeromys_tephromelas",0
"Aeromys_thomasi",0
"Aethomys_bocagei",0
"Aethomys_chrysophilus",0
"Aethomys_granti",0
"Aethomys_hindei",0
"Aethomys_ineptus",0
"Aethomys_kaiseri",0
"Aethomys_namaquensis",0
"Aethomys_nyikae",0
"Aethomys_silindensis",0
"Aethomys_stannarius",0
"Aethomys_thomasi",0
"Agalmaceros_blicki",1
"Ailuropoda_melanoleuca",1
"Ailurops_melanotis",0
"Ailurops_ursinus",1
"Ailurus_fulgens",0
"Akodon_aerosus",0
"Akodon_affinis",0
"Akodon_albiventer",0
"Akodon_aliquantulus",0
"Akodon_azarae",0
"Akodon_boliviensis",0
"Akodon_budini",0
"Akodon_cursor",0
"Akodon_dayi",0
"Akodon_dolores",0
"Akodon_fumeus",0
"Akodon_iniscatus",0
"Akodon_juninensis",0
"Akodon_kofordi",0
"Akodon_leucolimnaeus",0
"Akodon_lindberghi",0
"Akodon_lutescens",0
"Akodon_mimus",0
"Akodon_molinae",0
"Akodon_mollis",0
"Akodon_montensis",0
"Akodon_mystax",0
"Akodon_neocenus",0
"Akodon_oenos",0
"Akodon_orophilus",0
"Akodon_paranaensis",0
"Akodon_pervalens",0
"Akodon_philipmyersi",0
"Akodon_reigi",0
"Akodon_sanctipaulensis",0
"Akodon_serrensis",0
"Akodon_siberiae",0
"Akodon_simulator",0
"Akodon_spegazzinii",0
"Akodon_subfuscus",0
"Akodon_surdus",0
"Akodon_sylvanus",0
"Akodon_toba",0
"Akodon_torques",0
"Akodon_varius",0
"Alcelaphus_buselaphus",1
"Alces_alces",1
"Allactaga_balikunica",0
"Allactaga_bullata",0
"Allactaga_elater",0
"Allactaga_euphratica",0
"Allactaga_firouzi",0
"Allactaga_hotsoni",0
"Allactaga_major",0
"Allactaga_severtzovi",0
"Allactaga_sibirica",0
"Allactaga_tetradactyla",0
"Allactaga_vinogradovi",0
"Allactaga_williamsi",0
"Allactodipus_bobrinskii",0
"Allenopithecus_nigroviridis",0
"Allocebus_trichotis",0
"Allochrocebus_lhoesti",0
"Allochrocebus_preussi",0
"Allochrocebus_solatus",0
"Allocricetulus_curtatus",0
"Allocricetulus_eversmanni",0
"Alouatta_arctoidea",0
"Alouatta_belzebul",0
"Alouatta_caraya",0
"Alouatta_discolor",0
"Alouatta_guariba",0
"Alouatta_macconnelli",0
"Alouatta_nigerrima",0
"Alouatta_palliata",0
"Alouatta_pigra",0
"Alouatta_sara",0
"Alouatta_seniculus",0
"Alouatta_ululata",0
"Alticola_albicaudus",0
"Alticola_argentatus",0
"Alticola_barakshin",0
"Alticola_lemminus",0
"Alticola_macrotis",0
"Alticola_montosa",0
"Alticola_olchonensis",0
"Alticola_roylei",0
"Alticola_semicanus",0
"Alticola_stoliczkanus",0
"Alticola_strelzowi",0
"Alticola_tuvinicus",0
"Amblyrhiza_inundata",0
"Amblysomus_corriae",0
"Amblysomus_hottentotus",0
"Amblysomus_marleyi",0
"Amblysomus_robustus",0
"Amblysomus_septentrionalis",0
"Ammodillus_imbellis",0
"Ammodorcas_clarkei",1
"Ammospermophilus_harrisii",0
"Ammospermophilus_interpres",0
"Ammospermophilus_leucurus",0
"Ammospermophilus_nelsoni",0
"Ammotragus_lervia",1
"Amphinectomys_savamis",0
"Anathana_ellioti",0
"Andalgalomys_olrogi",0
"Andalgalomys_pearsoni",0
"Andinomys_edax",0
"Anisomys_imitator",0
"Anomalurus_beecrofti",0
"Anomalurus_derbianus",0
