"","Tiplabels_metatree","Armatures"
"1","BACKBONE_Abarema_cochliacarpos_LPQ15538",0
"2","BACKBONE_Abarema_diamantina_Guerra_148",0
"3","GRAFT_Acacia_abbreviata_1998",0
"4","GRAFT_Acacia_acanthaster_2619",1
"5","GRAFT_Acacia_acanthoclada_2615",1
"6","GRAFT_Acacia_acellerata_2617",0
"7","GRAFT_Acacia_acinacea_2074",0
"8","GRAFT_Acacia_aciphylla_2613",0
"9","GRAFT_Acacia_acoma_2651",0
"10","GRAFT_Acacia_acradenia_3002",0
"11","GRAFT_Acacia_acrionastes_2627",0
"12","GRAFT_Acacia_acuaria_2626",0
"13","GRAFT_Acacia_aculeatissima_2624",0
"14","GRAFT_Acacia_aculeiformis_2620",1
"15","GRAFT_Acacia_acuminata_3606",0
"16","GRAFT_Acacia_acutata_2645",1
"17","GRAFT_Acacia_adinophylla_2636",0
"18","GRAFT_Acacia_adnata_2634",0
"19","GRAFT_Acacia_adoxa_3550",0
"20","GRAFT_Acacia_adsurgens_3729",0
"21","GRAFT_Acacia_adunca_1867",0
"22","GRAFT_Acacia_aemula_2646",0
"23","GRAFT_Acacia_aestivalis_2648",0
"24","GRAFT_Acacia_alata_3549",1
"25","GRAFT_Acacia_alcockii_2640",0
"26","GRAFT_Acacia_alexandri_2220",1
"27","GRAFT_Acacia_alleniana_1786",0
"28","GRAFT_Acacia_alpina_2663",0
"29","GRAFT_Acacia_amblygona_2801",0
"30","GRAFT_Acacia_amblyophylla_1830",0
"31","GRAFT_Acacia_ammobia_3603",0
"32","GRAFT_Acacia_ammophila_2934",0
"33","GRAFT_Acacia_amoena_3553",0
"34","GRAFT_Acacia_ampliceps_3663",0
"35","GRAFT_Acacia_amyctica_2659",0
"36","GRAFT_Acacia_anarthros_2658",1
"37","GRAFT_Acacia_anasilla_2657",0
"38","GRAFT_Acacia_anastema_2656",0
"39","GRAFT_Acacia_anaticeps_2373",0
"40","GRAFT_Acacia_anceps_2802",0
"41","GRAFT_Acacia_ancistrocarpa_3106",0
"42","GRAFT_Acacia_ancistrophylla_2654",0
"43","GRAFT_Acacia_andrewsii_2672",1
"44","GRAFT_Acacia_aneura_3000",0
"45","GRAFT_Acacia_anfractuosa_2675",0
"46","GRAFT_Acacia_angusta_2669",0
"47","GRAFT_Acacia_anthochaera_2336",0
"48","GRAFT_Acacia_aphanoclada_3664",0
"49","GRAFT_Acacia_aphylla_2803",0
"50","GRAFT_Acacia_applanata_3641",0
"51","GRAFT_Acacia_aprepta_2967",0
"52","GRAFT_Acacia_aprica_2674",0
"53","GRAFT_Acacia_aptaneura_9275",0
"54","GRAFT_Acacia_araneosa_2670",0
"55","GRAFT_Acacia_arcuatilis_2668",0
"56","GRAFT_Acacia_areolata_2666",0
"57","GRAFT_Acacia_argutifolia_3160",0
"58","GRAFT_Acacia_argyraea_1790",0
"59","GRAFT_Acacia_argyrodendron_3403",0
"60","GRAFT_Acacia_argyrophylla_2345",0
"61","GRAFT_Acacia_arida_3561",0
"62","GRAFT_Acacia_armitii_2784",0
"63","GRAFT_Acacia_arrecta_2017",0
"64","GRAFT_Acacia_ashbyae_2076",0
"65","GRAFT_Acacia_aspera_2077",0
"66","GRAFT_Acacia_asperulacea_2685",0
"67","GRAFT_Acacia_assimilis_2804",0
"68","GRAFT_Acacia_ataxiphylla_2684",0
"69","GRAFT_Acacia_atkinsiana_2339",0
"70","GRAFT_Acacia_atrox_2682",0
"71","GRAFT_Acacia_attenuata_2680",0
"72","GRAFT_Acacia_aulacocarpaB",0
"73","GRAFT_Acacia_aulacophylla_Aau2462",0
"74","GRAFT_Acacia_auratiflora_2679",0
"75","GRAFT_Acacia_aureocrinita_2678",0
"76","GRAFT_Acacia_auricoma_1789",0
"77","GRAFT_Acacia_auriculiformis_2929",0
"78","GRAFT_Acacia_auronitens_2798",1
"79","GRAFT_Acacia_ausfeldii_2535",0
"80","GRAFT_Acacia_awestoniana_2797",0
"81","GRAFT_Acacia_axillaris_1869",0
"82","GRAFT_Acacia_ayersiana_9023",0
"83","GRAFT_Acacia_baeuerlenii_2047",0
"84","GRAFT_Acacia_baileyana_2583",0
"85","GRAFT_Acacia_baileyana_2583",0
"86","GRAFT_Acacia_baileyana_2583",0
"87","GRAFT_Acacia_baileyana_2583",0
"88","GRAFT_Acacia_bakeri_2792",0
"89","GRAFT_Acacia_balsamea_2790",0
"90","GRAFT_Acacia_bancroftiorum_2390",0
"91","GRAFT_Acacia_barattensis_1871",0
"92","GRAFT_Acacia_barbinervis_2839",0
"93","GRAFT_Acacia_barrettiorum_3518",0
"94","GRAFT_Acacia_barringtonensis_3475",0
"95","GRAFT_Acacia_basedowii_2836",1
"96","GRAFT_Acacia_baueri_2835",0
"97","GRAFT_Acacia_baxteri_2832",1
"98","GRAFT_Acacia_beadleana_2800",0
"99","GRAFT_Acacia_beauverdiana_3572",0
"100","GRAFT_Acacia_beckleri_1872",0
"101","GRAFT_Acacia_benthamii_2853",0
"102","GRAFT_Acacia_betchei_2362",0
"103","GRAFT_Acacia_bidentata_2852",0
"104","GRAFT_Acacia_bifaria_2850",0
"105","GRAFT_Acacia_biflora_2849",0
"106","GRAFT_Acacia_binata_1873",0
"107","GRAFT_Acacia_binervata_2199",0
"108","GRAFT_Acacia_binervia_2153",0
"109","GRAFT_Acacia_bivenosa_2697",0
"110","GRAFT_Acacia_blakei_2027",0
"111","GRAFT_Acacia_blakelyi_3644",0
"112","GRAFT_Acacia_blaxellii_2848",0
"113","GRAFT_Acacia_blayana_1874",0
"114","GRAFT_Acacia_boormanii_1832",0
"115","GRAFT_Acacia_botrydion_3154",0
"116","GRAFT_Acacia_brachybotrya_3569",0
"117","GRAFT_Acacia_brachyclada_2842",0
"118","GRAFT_Acacia_brachyphylla_2841",0
"119","GRAFT_Acacia_brachypoda_2840",0
"120","GRAFT_Acacia_brachystachya_3063",0
"121","GRAFT_Acacia_bracteolata_2875",0
"122","GRAFT_Acacia_brassii_2335",0
"123","GRAFT_Acacia_brockii_2874",0
"124","GRAFT_Acacia_bromilowiana_2856",0
"125","GRAFT_Acacia_browniana_3573",0
